Designator,Mid X,Mid Y,Rotation,Layer
R83,240.0,-122.8,90.0,top
R86,261.175,-111.675,0.0,top
R87,248.45,-102.65,0.0,top
R88,188.1,-148.9,90.0,top
R89,200.5,-141.7,90.0,top
R9,201.32,-135.7,270.0,top
R91,234.75,-127.5,90.0,top
R92,212.3,-137.25,0.0,top
R93,212.3,-138.9,180.0,top
R94,212.3,-135.3,180.0,top
R95,212.3,-133.7,180.0,top
R99,200.0,-145.4,270.0,top
SW1,260.55,-103.69,90.0,bottom
TH1,228.8,-139.7,180.0,top
U1,261.1,-118.9,90.0,top
U10,237.0,-121.2,270.0,top
U11,217.825,-125.225,0.0,top
U12,242.6,-138.4,0.0,top
U13,245.4,-122.5,90.0,top
U2,232.4,-136.75,270.0,top
U3,243.65,-110.52,0.0,top
U4,217.6,-137.2,0.0,top
U5,207.85,-136.8625,0.0,top
U6,196.4,-119.9,90.0,top
U7,230.225,-129.295,180.0,top
U8,183.1,-104.3,180.0,top
U9,225.8,-123.8,0.0,top
Y1,235.25,-130.95,270.0,top
